"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOUR_GDP","TOT","PC_GDP","A","2008",2.905,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2009",2.825,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2010",2.693,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2011",2.724,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2012",2.834,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2013",2.853,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2014",2.953,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2015",3.084,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2016",3.062,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2017",3.103,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2018",3.104,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2019",2.585,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2020",1.568,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2008",5.196,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2009",5.121,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2010",5.439,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2011",5.434,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2012",5.405,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2013",5.387,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2014",5.392,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2015",5.341,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2016",5.336,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2017",5.379,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2018",5.451,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2019",5.587,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2020",3.529,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2008",2.559,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2009",2.637,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2010",2.511,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2011",2.518,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2012",2.724,
